pays;word
all;a
all;and
all;at
all;by
all;d
all;de
all;der
all;des
all;die
all;du
all;ed
all;for
all;from
all;in
all;is
all;it
all;l
all;la
all;le
all;les
all;ltd
all;my
all;no
all;of
all;on
all;op
all;sa
all;the
all;to
all;up
all;with
all;you
all;your
at;ag
at;b
at;co
at;das
at;di
at;dr
at;eu
at;fh
at;fuer
at;fur
at;gmbh
at;h
at;it
at;kg
at;m
at;og
at;oo
at;st
at;und
at;von
at;zur
be;aisbl                       
be;asbl                        
be;c
be;en                          
be;et                          
be;et                          
be;l
be;n                           
be;nv                          
be;r
be;sprl                        
be;v                           
be;voor                        
be;vzw
ch;ag
ch;en
ch;et
ch;fur
ch;l
ch;per
ch;sarl
ch;und
de;ag
de;am
de;an
de;co
de;das
de;e
de;fuer                        
de;fur
de;gmbh                        
de;max
de;se
de;und
de;v
de;von
de;zu
de;zur
dk;aps                         
dk;as                          
dk;og                          
es;c                           
es;da
es;del                         
es;en                          
es;i                           
es;l                           
es;n                           
es;sl                          
es;u
es;y                           
fi;ab
fi;abo
fi;i
fi;ja
fi;l
fi;m
fi;oy
fi;oyj
fi;r
fi;ry
fi;y
fr;apres
fr;au
fr;aux
fr;avec
fr;ce
fr;chez
fr;dans
fr;en
fr;entre
fr;est
fr;et
fr;il
fr;je
fr;ma
fr;me
fr;mon
fr;ne
fr;ou
fr;par
fr;pas
fr;plus
fr;pour
fr;que
fr;qui
fr;re
fr;sans
fr;se
fr;ses
fr;si
fr;sur
fr;tous
fr;tout
fr;un
fr;une
fr;votre
ie;an
ie;as
ie;co
ie;dit
ie;o
it;al
it;bo
it;ca
it;cf
it;co
it;del
it;dell
it;di
it;ed
it;ii
it;il
it;lo
it;p
it;per
it;r
it;san
it;srl
it;tor
it;tre
it;txt
nl;b                           
nl;bij                         
nl;bv                          
nl;den
nl;en                          
nl;het                         
nl;n                           
nl;nv                          
nl;tno                         
nl;v                           
nl;van                         
nl;voor                        
no;as
no;asa
no;av
no;det
no;hf
no;i
no;mat
no;og
no;pa
no;ved
se;ab
se;i
se;och
se;sp
uk;limited                     
uk;tyne  
uk;uk                          
uk;upon                                                 
