abrev_adr;long_adr
abe;abbaye
ach;ancien_chemin
adj ;adjudant
al; allee
all ;allee
anse;anse
arc;arcades
av ; avenue 
bat ; batiment 
bcle;boucle
bd;boulevard
bld ; boulevard
bois;bois
brg;bourg
bvd ; boulevard 
camp;camp
car;carrefour
carr;carre
ccal;centre_commercial
cdt ;commandant 
cgne;campagne
che;chemin
chem  ;chemin 
chez;chez
chs;chaussee
cht;château
chv;chemin_vicinal
cite;cite
clos;clos
cor;corniche
cote;cote
cour;cour
crs;cours
ctr;contour
ctre;centre
dig;digue
dom;domaine
dr ;docteur 
enc;enclos
esp;esplanade
espa;esplanade
fbg; faubourg
fg; faubourg
fon;fond
fort;fort
fos;fosse
foyr;foyer
frm;ferme
g ;general 
gal ;general 
gare;gare
gl ;general 
gpe;groupe
gr;grande_rue
ham;hameau
hle;halle
hlm;hlm
ile;ile
imm;immeuble
imp ; impasse 
jard;jardin
ld; lieu_dit 
leve;levee
lieu;lieu_dit
lot;lotissemment
ltd; lieutenant
mail;mail
man;manoir
mar;marche
mas;mas
mln;moulin
mte;montee
parc;parc
pas;passage
pass;passage
pat;patio
pav;pavillon
pch;petit_chemin
peri;peripherique
pkg;parking
pl ;place
plag;plage
plan;plan
ple;place
pln;plan
plt;plateau
pont;pont
port;port
pre;pre
prof ;professeur
prom;promenade
prv;parvis
pte;porte
qu;quai
qua;quai
r;rue
rem;rempart
res;residence
rgt ; regiment
rle;ruelle
roc;rocade
rpe;rampe
rpt;rond_point
rtd;rotonde
rte ; route 
sen;sentier
sq;square
st;saint 
sta;station
ste;sainte
tour;tour
tra;traverse
tsse;terrasse
val;val
vche;voie_chemin
ven;venelle
vge;village
via;via
vla;villa
voi;voie
vte;vieille_route
za;zone_artisanale
zac;zac
zad;zad
zi ; zone_industrielle
zone;zone
zup;zup
z i; zone_industrielle
zp; zone_portuaire
zip; zone_industrielle_portuaire
ave;avenue
pr;professeur
